Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
25,45100,Fashion & Retail,Phil Knight & family,85,1938,Hillsboro,Nike,Fashion & Retail,United States,Nike,TRUE,D,M,Chairman,Oregon,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
26,45000,Technology,Zhang Yiming,39,1984,Beijing,TikTok,Technology,China,ByteDance,TRUE,D,M,Founder,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
27,42900,Fashion & Retail,Dieter Schwarz,83,1939,Neckarsulm,Retail,Fashion & Retail,Germany,-,FALSE,D,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
28,40100,Fashion & Retail,François Pinault & family,86,1936,Paris,Luxury goods,Fashion & Retail,France,-,TRUE,D,M,-,-,-,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887
29,39100,Logistics,Klaus-Michael Kuehne,85,1937,Schindellegi,Shipping,Logistics,Germany,-,FALSE,U,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
30,38900,Food & Beverage,Giovanni Ferrero,58,1964,Brussels,"Nutella, chocolates",Food & Beverage,Italy,-,FALSE,U,M,-,-,-,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24,55.4,11484055
31,38300,Food & Beverage,Jacqueline Mars,83,1939,The Plains,"Candy, pet food",Food & Beverage,United States,-,FALSE,U,F,-,Virginia,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
31,38300,Food & Beverage,John Mars,87,1935,Jackson,"Candy, pet food",Food & Beverage,United States,-,FALSE,U,M,-,Wyoming,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
33,38000,Diversified,Li Ka-shing,94,1928,-,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,TRUE,U,M,Senior Advisor,-,-,-,-,-,-,-,-,-,-,-
34,35300,Technology,Ma Huateng,51,1971,Shenzhen,Internet media,Technology,China,Tencent Holdings,TRUE,D,M,Chairman and CEO,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
