Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
748,3800,Media & Entertainment,Martha Ingram & family,87,1935,Nashville,"Book distribution, transportation",Media & Entertainment,United States,"Ingram Industries, Inc.",FALSE,D,F,Former Chairman,Tennessee,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
748,3800,Automotive,Li Xiang,41,1981,Beijing,Electric vehicles,Automotive,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
748,3800,Real Estate,"H. Ross Perot, Jr.",64,1958,Dallas,Real estate,Real Estate,United States,-,FALSE,U,M,-,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
748,3800,Real Estate,Chandru Raheja,82,1940,Mumbai,Real estate,Real Estate,India,-,FALSE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
748,3800,Energy,Trevor Rees-Jones,71,1951,Dallas,Oil & gas,Energy,United States,-,TRUE,D,M,-,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
748,3800,Telecom,Yasumitsu Shigeta,58,1965,Tokyo,Mobile phone retailer,Telecom,Japan,-,TRUE,U,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
748,3800,Healthcare,Su Qingcan,54,1969,Xiamen,Healthcare,Healthcare,China,-,TRUE,N,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
748,3800,Finance & Investments,Tsai Cheng-ta,73,1950,Taipei,Finance,Finance & Investments,Taiwan,-,FALSE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
748,3800,Service,Steven Udvar-Hazy,77,1946,Westlake,Aircraft leasing,Service,United States,Air Lease Corp.,TRUE,D,M,CEO and Chairman,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
748,3800,Manufacturing,Elizabeth Uihlein,77,1945,Lake Forest,Packaging materials,Manufacturing,United States,-,TRUE,N,F,Entrepreneur,Illinois,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
748,3800,Manufacturing,Richard Uihlein,77,1945,Lake Forest,Packaging materials,Manufacturing,United States,-,TRUE,N,M,-,Illinois,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Finance & Investments,Hayes Barnard,51,1972,Austin,Fintech,Finance & Investments,United States,-,TRUE,N,M,-,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Finance & Investments,William Berkley,76,1946,Coconut Grove,Insurance,Finance & Investments,United States,WR Berkley,TRUE,E,M,Chairman and CEO,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Real Estate,Charles Cohen,71,1952,New York,Real estate,Real Estate,United States,-,FALSE,U,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Real Estate,Yakir Gabay,56,1966,London,Real estate,Real Estate,Cyprus,-,TRUE,D,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
766,3700,Technology,Huang Li,59,1963,Wuhan,Imaging systems,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
766,3700,Logistics,Brad Jacobs,66,1956,Greenwich,Logistics,Logistics,United States,-,TRUE,E,M,-,Connecticut,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Real Estate,Ji Qi,56,1966,Shanghai,"Hotels, motels",Real Estate,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
766,3700,Media & Entertainment,Jason Jiang,50,1973,Shanghai,Advertising,Media & Entertainment,Singapore,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
766,3700,Technology,Jim Kavanaugh,60,1962,St. Louis,IT provider,Technology,United States,-,TRUE,U,M,-,Missouri,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Real Estate,Richard LeFrak & family,77,1945,New York,Real estate,Real Estate,United States,-,FALSE,E,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Finance & Investments,Mikhail Lomtadze,47,1975,Almaty,Fintech,Finance & Investments,Georgia,-,TRUE,U,M,-,-,-,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930
766,3700,Fashion & Retail,Tom Morris,68,1954,Merseyside,Retail,Fashion & Retail,United Kingdom,-,TRUE,U,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
766,3700,Manufacturing,Shigenobu Nagamori,78,1944,Kyoto,Motors,Manufacturing,Japan,-,TRUE,D,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
766,3700,Finance & Investments,Daniel Och,62,1961,Miami Beach,Hedge funds,Finance & Investments,United States,Och-Ziff Capital Management,TRUE,D,M,Founder,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Fashion & Retail,Horst Paulmann & family,88,1935,Santiago,Retail,Fashion & Retail,Chile,-,TRUE,U,M,-,-,-,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038
766,3700,Service,Anthony Pritzker,62,1961,Los Angeles,"Hotels, investments",Service,United States,-,FALSE,E,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Technology,John Sall,75,1948,Cary,Software,Technology,United States,SAS Institute,TRUE,U,M,"Co-Founder, Executive Vice President",North Carolina,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Food & Beverage,Howard Schultz,69,1953,Seattle,Starbucks,Food & Beverage,United States,-,TRUE,D,M,-,Washington,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Fashion & Retail,Richard Schulze,82,1941,Naples,Best Buy,Fashion & Retail,United States,Best Buy Co. Inc.,TRUE,D,M,Chairman,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
766,3700,Real Estate,Yitzhak Tshuva,74,1948,Netanya,Real estate,Real Estate,Israel,-,TRUE,D,M,-,-,-,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300
787,3600,Diversified,Rajiv Bajaj,56,1966,Pune,Diversified,Diversified,India,-,FALSE,Split Family Fortune,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
787,3600,Diversified,Sanjiv Bajaj,56,1966,Pune,Diversified,Diversified,India,-,FALSE,Split Family Fortune,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
787,3600,Finance & Investments,Leonid Boguslavsky,53,1969,Florence,Venture capital,Finance & Investments,Canada,-,TRUE,D,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
787,3600,Finance & Investments,Jim Coulter,71,1951,San Francisco,Private equity,Finance & Investments,United States,-,TRUE,U,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
787,3600,Automotive,Nicolas D'Ieteren,63,1959,Anzere,"Auto parts, distribution",Automotive,Belgium,-,FALSE,N,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
787,3600,Food & Beverage,Beatriz Davila de Santo Domingo,47,1975,-,Beer,Food & Beverage,Colombia,-,FALSE,U,F,-,-,-,-,-,-,-,-,-,-,-,-
787,3600,Real Estate,Bob Gaglardi,84,1939,Vancouver,Hotels,Real Estate,Canada,-,TRUE,U,M,-,-,-,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981
787,3600,Finance & Investments,Jaime Gilinski Bacal,82,1941,London,Banking,Finance & Investments,Colombia,-,FALSE,D,M,Investor,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
787,3600,Gambling & Casinos,Pansy Ho,65,1957,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,-,FALSE,U,F,-,-,-,-,-,-,-,-,-,-,-,-
787,3600,Finance & Investments,Alan Howard,60,1962,Geneva,Hedge funds,Finance & Investments,United Kingdom,Brevan Howard Asset Management,TRUE,U,M,Founder,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
787,3600,Automotive,Huang Yi,59,1963,Beijing,Car dealerships,Automotive,Hong Kong,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
787,3600,Finance & Investments,Peter Kellogg,61,1962,Short Hills,Investments,Finance & Investments,United States,-,FALSE,E,M,-,New Jersey,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
787,3600,Finance & Investments,Vyacheslav Kim,80,1942,Almaty,Fintech,Finance & Investments,Kazakhstan,-,TRUE,U,M,-,-,-,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930
787,3600,Finance & Investments,Josh Kushner,53,1969,New York City,Venture capital,Finance & Investments,United States,Thrive Capital,TRUE,U,M,Managing Partner,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
787,3600,Real Estate,Samuel Tak Lee,37,1985,Hong Kong,Real estate,Real Estate,Hong Kong,-,FALSE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
787,3600,Real Estate,Edwin Leong,83,1939,Hong Kong,Real estate,Real Estate,Hong Kong,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
787,3600,Finance & Investments,"Stephen Mandel, Jr.",71,1951,Greenwich,Hedge funds,Finance & Investments,United States,Lone Pine Capital,TRUE,D,M,Founder,Connecticut,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
787,3600,Diversified,Mohamed Mansour,67,1956,London,Diversified,Diversified,Egypt,-,TRUE,U,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
787,3600,Fashion & Retail,Masahiro Miki,75,1948,Tokyo,Shoes,Fashion & Retail,Japan,-,TRUE,U,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
787,3600,Technology,Masahiro Noda,67,1955,Tokyo,Software,Technology,Japan,-,TRUE,U,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
787,3600,Technology,Cliff Obrecht,84,1938,Sydney,Software,Technology,Australia,-,TRUE,D,M,-,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
787,3600,Technology,Melanie Perkins,37,1985,Sydney,Software,Technology,Australia,Canva,TRUE,D,F,Cofounder & CEO,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
787,3600,Finance & Investments,J.B. Pritzker,35,1987,Springfield,"Hotels, investments",Finance & Investments,United States,-,FALSE,E,M,-,Illinois,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
787,3600,Fashion & Retail,Juan Roig,58,1965,Valencia,Supermarkets,Fashion & Retail,Spain,-,FALSE,D,M,-,-,-,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47,47076781
787,3600,Real Estate,Jerry Speyer & family,73,1949,New York,Real estate,Real Estate,United States,-,TRUE,E,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
787,3600,Fashion & Retail,Lawrence Stroll,82,1940,Geneva,Fashion investments,Fashion & Retail,Canada,-,TRUE,U,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
787,3600,Logistics,Tung Chee Chen,63,1959,Hong Kong,Shipping,Logistics,Hong Kong,-,FALSE,E,M,-,-,-,-,-,-,-,-,-,-,-,-
787,3600,Food & Beverage,Wang Junlin,80,1942,Chengdu,Liquor,Food & Beverage,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
787,3600,Automotive,Xia Zuoquan,60,1962,Shenzhen,"Automobiles, batteries",Automotive,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
787,3600,Technology,Zeng Fangqin,61,1962,Shenzhen,Smartphone components,Technology,China,-,TRUE,D,F,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
787,3600,Manufacturing,Zhang Jian,57,1965,Tianjin,"Electric bikes, scooters",Manufacturing,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
818,3500,Fashion & Retail,Rocco Basilico,54,1969,Los Angeles,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Healthcare,Maurizio Billi,33,1989,Sao Paulo,Generic drugs,Healthcare,Brazil,-,FALSE,U,M,-,-,-,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417
818,3500,Finance & Investments,Fashu Chen,65,1957,Fuzhou,Investments,Finance & Investments,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
818,3500,Manufacturing,Giuseppe Crippa & family,62,1960,Cernusco Lombardone,Microchip testing,Manufacturing,Italy,-,TRUE,U,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
818,3500,Finance & Investments,Daniel D'Aniello,87,1935,Vienna,Private equity,Finance & Investments,United States,-,TRUE,D,M,-,Virginia,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Fashion & Retail,Claudio Del Vecchio,76,1946,Muttontown,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Fashion & Retail,Clemente Del Vecchio,66,1957,Milan,Eyeglases,Fashion & Retail,Italy,-,FALSE,N,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
818,3500,Fashion & Retail,Leonardo Maria Del Vecchio,18,2004,Milan,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
818,3500,Fashion & Retail,Luca Del Vecchio,27,1995,Milan,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
818,3500,Fashion & Retail,Marisa Del Vecchio,21,2001,Rome,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,F,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
818,3500,Fashion & Retail,Paola Del Vecchio,64,1958,Luxembourg,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,F,-,-,-,115.09,1.7,"$71,104,919,108 ",19.2,102.3,82.1,26.5,20.4,645397
818,3500,Finance & Investments,Walter P.J. Droege,61,1961,Dusseldorf,Investing,Finance & Investments,Germany,-,TRUE,D,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
818,3500,Fashion & Retail,Fan Daidi,70,1952,Xian,Skincare,Fashion & Retail,China,-,TRUE,N,F,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
818,3500,Technology,Peter Gassner,57,1966,Pleasanton,Software,Technology,United States,-,TRUE,U,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Energy,Mikhail Gutseriev,58,1965,Moscow,"Oil, coal, real estate",Energy,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
818,3500,Manufacturing,Patrick Lee,65,1958,Hong Kong,Paper,Manufacturing,Hong Kong,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
818,3500,Food & Beverage,Leng Youbin,81,1942,Beijing,Infant formula,Food & Beverage,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
818,3500,Finance & Investments,Daniel Loeb,54,1969,New York,Hedge funds,Finance & Investments,United States,Third Point,TRUE,D,M,Investor,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Food & Beverage,Margarita Louis-Dreyfus & family,61,1961,Davos,Commodities,Food & Beverage,Switzerland,Louis Dreyfus SAS,FALSE,D,F,President,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
818,3500,Healthcare,Prasert Prasarttong-Osoth,60,1962,Bangkok,Hospitals,Healthcare,Thailand,-,TRUE,U,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
818,3500,Finance & Investments,Ira Rennert,90,1933,New York,Investments,Finance & Investments,United States,-,TRUE,D,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Fashion & Retail,Dirk Rossmann & family,88,1934,Lower-Saxony,Drugstores,Fashion & Retail,Germany,-,TRUE,U,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
818,3500,Construction & Engineering,Arkady Rotenberg,76,1946,Moscow,"Construction, pipes, banking",Construction & Engineering,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
818,3500,Fashion & Retail,Remo Ruffini,71,1951,Como,Winter jackets,Fashion & Retail,Italy,-,TRUE,U,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
818,3500,Healthcare,Karin Sartorius-Herbst,61,1961,Northeim,Biopharmaceuticals,Healthcare,Germany,-,FALSE,U,F,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
818,3500,Automotive,Vivek Chaand Sehgal,82,1942,Delhi,Auto parts,Automotive,Australia,-,TRUE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
818,3500,Finance & Investments,Scott Shleifer,66,1956,New York,Private equity,Finance & Investments,United States,Tiger Global Management,TRUE,D,M,Investor,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Technology,Thomas Siebel,45,1977,Woodside,Business software,Technology,United States,-,TRUE,E,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Manufacturing,Wim van der Leegte & family,70,1952,Eindhoven,Manufacturing,Manufacturing,Netherlands,-,FALSE,U,M,-,-,-,115.91,2.6,"$909,070,395,161 ",85,104.2,81.8,23,41.2,17332850
818,3500,Diversified,Xiao Yongming & family,75,1947,Beijing,Fertilizer,Diversified,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
818,3500,Technology,Michael Xie,58,1964,Los Altos Hills,Cybersecurity,Technology,United States,-,TRUE,U,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
818,3500,Logistics,Yang Shaopeng,54,1969,Qingdao,Shipping,Logistics,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
818,3500,Fashion & Retail,Nicoletta Zampillo,65,1958,Monaco,Eyeglasses,Fashion & Retail,Italy,-,FALSE,N,F,-,-,-,-,-,"$7,184,844,193 ",-,-,-,-,-,38964
818,3500,Manufacturing,Barry Zekelman,65,1958,Windsor,Steel,Manufacturing,Canada,-,FALSE,U,M,-,-,-,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981
852,3400,Finance & Investments,William Ackman,56,1967,New York,Hedge funds,Finance & Investments,United States,"Pershing Square Capital Management, L.P.",TRUE,U,M,"Founder, CEO",New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Energy,Somphote Ahunai,56,1966,Bangkok,Renewable energy,Energy,Thailand,-,TRUE,D,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
852,3400,Metals & Mining,Igor Altushkin,55,1967,Yekaterinburg,Metals,Metals & Mining,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
852,3400,Food & Beverage,Ramon Ang,52,1970,Manila,Diversified,Food & Beverage,Philippines,-,TRUE,U,M,-,-,-,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14,43.1,108116615
852,3400,Food & Beverage,Acharya Balkrishna,69,1954,Haridwar,Consumer goods,Food & Beverage,India,-,TRUE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
852,3400,Manufacturing,Markus Blocher,50,1972,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,-,FALSE,U,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
852,3400,Diversified,Richard Branson,52,1971,Necker Island,Virgin,Diversified,United Kingdom,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
852,3400,Finance & Investments,Cho Jung-ho,72,1950,Seoul,Finance,Finance & Investments,South Korea,Meritz Financial Group,FALSE,U,M,-,-,-,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098
852,3400,Food & Beverage,Alessandra Garavoglia,64,1958,Milan,Spirits,Food & Beverage,Italy,-,FALSE,U,F,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
852,3400,Fashion & Retail,Laurence Graff & family,63,1960,Gstaad,Diamond jewelry,Fashion & Retail,United Kingdom,-,TRUE,E,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
852,3400,Media & Entertainment,"Amos Hostetter, Jr.",84,1938,Boston,Cable television,Media & Entertainment,United States,Pilot House Associates,TRUE,D,M,Chair,Massachusetts,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Sports,Robert Johnson,86,1937,Palm Beach,"Johnson & Johnson, sports",Sports,United States,-,FALSE,N,M,-,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Finance & Investments,Steven Klinsky,75,1947,New York,Investments,Finance & Investments,United States,New Mountain Capital,TRUE,E,M,Founder & CEO,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Fashion & Retail,William Lauder,66,1956,New York,Estee Lauder,Fashion & Retail,United States,-,FALSE,D,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Food & Beverage,John Middleton,62,1960,Bryn Mawr,Tobacco,Food & Beverage,United States,-,FALSE,E,M,-,Pennsylvania,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Fashion & Retail,Hiroshi Mikitani,68,1955,Tokyo,Online retail,Fashion & Retail,Japan,-,TRUE,D,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
852,3400,Technology,Bob Parsons,58,1965,Scottsdale,Web hosting,Technology,United States,-,TRUE,E,M,-,Arizona,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Finance & Investments,J. Joe Ricketts & family,72,1950,Little Jackson Hole,TD Ameritrade,Finance & Investments,United States,-,TRUE,D,M,-,Wyoming,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Real Estate,Herb Simon,81,1941,Indianapolis,Real estate,Real Estate,United States,Simon Property Group,TRUE,D,M,"Chairman Emeritus of the Board of Simon Property Group, Inc.",Indiana,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Healthcare,Leena Tewari,88,1934,Mumbai,Pharmaceuticals,Healthcare,India,-,FALSE,D,F,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
852,3400,Media & Entertainment,Stefan von Holtzbrinck,65,1957,Stuttgart,Publishing,Media & Entertainment,Germany,-,FALSE,U,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
852,3400,Food & Beverage,Hans Peter Wild,59,1963,Zug,Flavorings,Food & Beverage,Switzerland,-,FALSE,D,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
852,3400,Healthcare,Wu Guanjiang & family,81,1941,Chongqing,Pharmaceuticals,Healthcare,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
852,3400,Technology,Yi Zheng,54,1968,Hangzhou,Software,Technology,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
852,3400,Technology,Eric Yuan & family,52,1970,Santa Clara,Zoom Video Communications,Technology,United States,Zoom Video Communications,TRUE,D,M,Founder and CEO,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
852,3400,Media & Entertainment,Charles Zegar,53,1970,New York,Bloomberg LP,Media & Entertainment,United States,-,TRUE,U,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
